FI|SCH|ID|AU|FAU|AF1|AF2|AF3|CI|PAF|CN|AUID
LIL|rhs|lil-478311|Simões, Sonia Mara Faria||Universidade Federal Fluminense|Escola de Enfermagem Aurora Afonso Costa||Niterói|BR||
LIL|rhs|lil-478313|Rodrigues, Juliana||s.af||||||
LIL|rhs|lil-478313|Mantovani, Maria de Fátima||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|lil-478406|Luna Filho, Bráulio||UNIFESP|EPM|Setor de Cardiopatia Hipertensiva. Disciplina de Cardiologia|São Paulo|BR||
LIL|rhs|lil-478482|Souza, Eliane S||UFBA|Faculdade de Odontologia|||BR||
LIL|rhs|lil-478482|Ayres, Isabela Sales J||Secretaria de Saúde do Estado da Bahia||||BR||
LIL|rhs|lil-478482|Pereira, Júlio César Leal||UFBA|Faculdade de Educação|||BR||
LIL|rhs|lil-478482|Novoa, Maria Concepción||UFBA|Faculdade de Educação|||BR||
LIL|rhs|lil-478482|Araújo, Dolores||Escola Estadual de Saúde Pública||||BR||
LIL|rhs|lil-478486|Araújo, Dolores||UFBA||||BR||
LIL|rhs|lil-478486|Ayres, Isabela B. Sales J||UFBA||||BR||
LIL|rhs|lil-478486|Brasil, Sandra L||EESP/SESAB||||BR||
LIL|rhs|lil-478490|Araújo, Dolores||EESP/SESAB||||BR||
LIL|rhs|lil-478490|Miranda, Maria Claudina Gomes de||EESP/SESAB||||BR||
LIL|rhs|lil-478490|Brasil, Sandra L||EESP/SESAB||||BR||
LIL|rhs|lil-478656|García Hernández, Marlene||Instituto Superior de Ciencias Médicas de La Habana||||CU||
LIL|rhs|lil-478656|Lozada García, Limay||Policlínico Carlos J. Finlay||||CU||
LIL|rhs|lil-478656|Lugones Botell, Miguel||Instituto Superior de Ciencias Médicas de La Habana||||CU||
LIL|rhs|lil-478698|Berdasquera Corcho, Denis||Instituto de Medicina Tropical Pedro Kourí||||CU||
LIL|rhs|lil-478815|Dyniewicz, Ana Maria||Universidade Federal de São Paulo|Departamento de Enfermagem||São Paulo|BR||
LIL|rhs|lil-478815|Stefanelli, Maguida da Costa||Universidade de São Paulo|||São Paulo|BR||
LIL|rhs|lil-478823|Cunha, Janice Machado da||Universidade Federal do Rio de Janeiro|||Rio de Janeiro|BR||
LIL|rhs|lil-479070|Nunes, Carla Cafarate||Universidade Federal do Rio Grande do Sul|||Porto Alegre|BR||
LIL|rhs|lil-479070|Amador, Tânia Alves||Universidade Federal do Rio Grande do Sul|Faculdade de Farmácia|Departamento de Produção e Controle de Medicamentos|Porto Alegre|BR||
LIL|rhs|lil-479070|Heineck, Isabela||Universidade Federal do Rio Grande do Sul|Faculdade de Farmácia|Departamento de Produção e Controle de Medicamentos|Porto Alegre|BR||
LIL|rhs|lil-479071|Leão, Adriana||Universidade de São Paulo|||São Paulo|BR||
LIL|rhs|lil-479071|Barros, Sônia||Secretaria de Estado da Saúde de São Paulo|||São Paulo|BR||
LIL|rhs|lil-479189|Silva, Kênia Lara||Pontifícia Universidade Católica de Minas Gerais|||Belo Horizonte|BR||
LIL|rhs|lil-479189|Sena, Roseni Rosângela de||Universidade Federal de Minas Gerais|Escola de Enfermagem||Belo Horizonte|BR||
LIL|rhs|lil-479410|Vélez A., Alba Lucia||Universidad de Caldas|Facultad de Ciencias para la Salud|Departamento de Salud Pública|Manizales|CO||
LIL|rhs|lil-479415|Fernández Candela, Fernando||Universidad de Alicante|||Alicante|ES||
LIL|rhs|lil-479415|Rebolledo Malpica, Dinora Margarita||Universidad Lisandro Alvarado|||Barquisimeto|VE||
LIL|rhs|lil-479415|Velandia Mora, Ana Luisa||Universidad Nacional de Colombia|Escuela de Enfermeras de la Cruz Roja Colombiana||Santa Fe de Bogotá|CO||
LIL|rhs|lil-479488|Franco Peláez, Rosa||Universidad de Caldas|Facultad de Enfermería||Manizales|CO||
LIL|rhs|lil-479530|Grenoville, Mario A||Sociedad Argentina de Pediatría||||AR||
LIL|rhs|lil-479711|Rozenfeld, Suely||s.af||||||
LIL|rhs|lil-479712|Rozenfeld, Suely||Fundação Oswaldo Cruz|Escola Nacional de Saúde Pública||Rio de Janeiro|BR||
LIL|rhs|lil-479715|Osorio-de-Castro, Claudia Garcia Serpa||Fiocruz|Escola Nacional de Saúde Pública Sérgio Arouca|Núcleo de Assistência Farmacêutica|Rio de Janeiro|BR||
LIL|rhs|lil-479722|Angonesi, Daniela||Centro Universitário Newton Paiva|||Belo Horizonte|BR||
LIL|rhs|lil-479879|Sallum, Maria Anice Mureb||Universidade de São Paulo|Faculdade de Saúde Pública|Departamento de Epidemiologia|São Paulo|BR||
LIL|rhs|lil-479993|Resck, Zélia Marilda Rodrigues||Alfenas Federal University|||Alfenas|BR||
LIL|rhs|lil-479993|Gomes, Elizabeth Laus Ribas||University of São Paulo|Ribeirão Preto College of Nursing||Ribeirão Preto|BR||
LIL|rhs|lil-480001|Santos, Tânia Cristina Franco||Rio de Janeiro Federal University|Anna Nery School of Nursing|||BR||
LIL|rhs|lil-480001|Lopes, Gertrudes Teixeira||Rio de Janeiro State University|School of Nursing|||BR||
LIL|rhs|lil-480001|Porto, Fernando||Rio de Janeiro Federal University|Anna Nery School of Nursing|||BR||
LIL|rhs|lil-480001|Fonte, Aline Silva da||Rio de Janeiro Federal University|Anna Nery School of Nursing|||BR||
LIL|rhs|lil-480002|Nunes, Cristina Brandt||Mato Grosso do Sul Federal University|||Campo Grande|BR||
LIL|rhs|lil-480002|Sarti, Cynthia Andersen||São Paulo Federal University|||São Paulo|BR||
LIL|rhs|lil-480002|Ohara, Conceição Vieira da Silva||São Paulo Federal University|||São Paulo|BR||
LIL|rhs|lil-480116|Sena, Roseni Rosângela de||Universidade Federal de Minas Gerais|Escola de Enfermagem||Lourdes|BR||
LIL|rhs|lil-480116|Silva, Kênia Lara||Pontifícia Universidade Católica de Minas Gerais|||Belo Horizonte|BR||
LIL|rhs|lil-480116|Gonçalves, Alda Martins||Universidade Federal de Minas Gerais|Escola de Enfermagem||Lourdes|BR||
LIL|rhs|lil-480116|Duarte, Elysângela Dittz||Hospital Sofia Feldman|||Belo Horizonte|BR||
LIL|rhs|lil-480116|Coelho, Suelene||Universidade Federal de Minas Gerais|Escola de Enfermagem||Lourdes|BR||
LIL|rhs|lil-480123|Ciuffo, Roberta Signorelli||Secretaria Municipal de Saúde|Programa Municipal de DST/Aids||Saquarema|BR||
LIL|rhs|lil-480123|Ribeiro, Victoria Maria Brant||Universidade Federal do Rio de Janeiro|||Rio de Janeiro|BR||
LIL|rhs|lil-480125|Chaves, Mônica Campos||Secretaria Municipal de Saúde de Fortaleza|||Fortaleza|BR||
LIL|rhs|lil-480125|Miranda, Alcides Silva de||Universidade Federal do Ceará|||Fortaleza|BR||
LIL|rhs|lil-480141|Akutsu, Rita de Cássia||Universidade Federal de São Paulo|Escola Paulista de Medicina|Departamento de Medicina Preventiva|São Paulo|BR||
LIL|rhs|lil-480250|Cunha, Isabel Cristina Kowal Olm||s.af||||||
LIL|rhs|lil-480252|Silva, Kênia Lara||Universidade Federal de Minas Gerais|Escola de Enfermagem||Belo Horizonte|BR||
LIL|rhs|lil-480252|Sena, Roseni Rosângela de||Pontifícia Universidade Católica de Minas Gerais|Escola de Enfermagem||Belo Horizonte|BR||
LIL|rhs|lil-480267|Arone, Evanisa Maria||UNIFESP|GEPAG||São Paulo|BR||
LIL|rhs|lil-480267|Cunha, Isabel Cristina Kowal Olm||UNIFESP|GEPAG||São Paulo|BR||
LIL|rhs|lil-480283|Cunha, Isabel Cristina Kowal Olm||s.af||||||
LIL|rhs|lil-480292|Acker, Justina Inês Brunetto Verruck||Centro Universitário UNIVATES|||Lajeado|BR||
LIL|rhs|lil-480292|Annoni, Fabrina||Centro Universitário UNIVATES|||Lajeado|BR||
LIL|rhs|lil-480292|Carreno, Ioná||Centro Universitário UNIVATES|||Lajeado|BR||
LIL|rhs|lil-480292|Hahn, Giselda Veronice||Centro Universitário UNIVATES|||Lajeado|BR||
LIL|rhs|lil-480292|Medeiros, Cássia Regina Gotler||Centro Universitário UNIVATES|||Lajeado|BR||
LIL|rhs|lil-480317|Souza, Ana Célia Caetano de||CMACCLIS|||Fortaleza|BR||
LIL|rhs|lil-480317|Muniz Filha, Maria José Matias||CMACCLIS|||Fortaleza|BR||
LIL|rhs|lil-480317|Silva, Lúcia de Fátima da||CMACCLIS|||Fortaleza|BR||
LIL|rhs|lil-480317|Monteiro, Ana Ruth Macedo||CMACCLIS|||Fortaleza|BR||
LIL|rhs|lil-480317|Fialho, Ana Virgílio Melo||CMACCLIS|||Fortaleza|BR||
LIL|rhs|lil-480328|Aguirre Giraldo, Mauricio Andrés||Universidad de Manizales|Facultad de Medicina||Manizales|CO||
LIL|rhs|lil-480367|Arango Bayer, Gloria Lucía||Universidad Nacional de Colombia|Facultad de Enfermería|Departamento de Cuidado y Práctica de Enfermería|Bogotá|CO||
LIL|rhs|lil-480370|Gómez Serrano, Consuelo||Universidad Nacional de Colombia|Facultad de Enfermería|Grupo de Investigación Historia de la Enfermería|Bogotá|CO||
LIL|rhs|lil-480379|Vásquez Triossi, Martha Lucía||Universidad del Valle|Escuela de Enfermería|||CO||
LIL|rhs|lil-480382|Lozada M., Maria Amparo||Universidad Nacional de Colombia|Facultad de Enfermería||Bogotá|CO||
LIL|rhs|lil-480387|Manosalva Murillo, Josefina||Universidad Nacional de Colombia|Facultad de Enfermería|Grupo Académico de Urgencias y Cuidado Crítico|Bogotá|CO||
LIL|rhs|lil-480396|Moreno, María Elisa||Universidad de la Sabana|Facultad de Enfermería|Profesora Asociada|Bogotá|CO||
LIL|rhs|lil-480396|Náder, Andrea||Clínica Universitaria Teletón|Enfermera salas de Cirugía||Bogotá|CO||
LIL|rhs|lil-480396|López de Mesa, Clara||Universidad de la Sabana|Facultad de Medicina||Bogotá|CO||
LIL|rhs|lil-480403|González Consuegra, Renata Virginia||Universidad Nacional de Colombia|Facultad de Enfermería|Profesora Asociada|Bogotá|CO||
LIL|rhs|lil-480405|Arango Bayer, Gloria Lucía||Universidad Nacional de Colombia|Facultad de Enfermería|Profesora Asistente|Bogotá|CO||
LIL|rhs|lil-480407|Peña, Beatriz||Universidad Nacional de Colombia|Facultad de Enfermería||Bogotá|CO||
LIL|rhs|lil-480413|Peña Riveros, Beatriz||Universidad Nacional de Colombia|Facultad de Enfemería|Profesora Asociada|Bogotá|CO||
LIL|rhs|lil-480413|Vega Vega, Yolanda||Universidad Nacional de Colombia|Facultad de Enfemería|Profesora Asociada|Bogotá|CO||
LIL|rhs|lil-480419|Rojas Martínez, Maria Victoria||Universidad de Cundinamarca|Facultad de Enfermería|Docente|Bogotá|CO||
LIL|rhs|lil-480428|Luna Torres, Leonor||Universidad Nacional de Colombia|Facultad de Enfermería||Bogotá|CO||
LIL|rhs|lil-480725|Santos, Luiz A. de Castro||Universidade do Estado do Rio de Janeiro|Instituto de Medicina Social||Petrópolis|BR||
LIL|rhs|lil-480822|Reis, Cássia Barbosa||Universidade Federal de Mato Grosso|||Mato Grosso|BR||
LIL|rhs|lil-480822|Andrade, Sônia Maria Oliveira||Universidade Federal de Mato Grosso|||Mato Grosso|BR||
LIL|rhs|lil-480943|Longaray, Vanessa Kenne||Hospital de Clínicas de Porto Alegre|||Porto Alegre|BR||
LIL|rhs|lil-480943|Almeida, Miriam de Abreu||UFRGS|Escola de Enfermagem||Porto Alegre|BR||
LIL|rhs|lil-480943|Cezaro, Paula de||Hospital Conceição|||Porto Alegre|BR||
LIL|rhs|lil-481202|Namen, Fátima M||Universidade Veiga de Almeida|||Rio de Janeiro|BR||
LIL|rhs|lil-481202|Galan Jr, João||Universidade Veiga de Almeida|||Rio de Janeiro|BR||
LIL|rhs|lil-481202|Cabreira, Rodrigo Derossi||s.af||||||
LIL|rhs|lil-481247|Briseño Cerda, Juan Manuel||Universidad de Colima|Facultad de Odontología||Colima|MX||
LIL|rhs|lil-481425|Barros, Alba Lúcia Bottura Leite de||s.af||||||
LIL|rhs|lil-481425|Matheus, Maria Clara Cassuli||s.af||||||
LIL|rhs|lil-481425|Gutiérrez, Maria Gaby Rivero de||Universidade Federal de São Paulo|Departamento de Enfermagem||São Paulo|BR||
LIL|rhs|lil-481607|Benasayag, Silvia||s.af||||||
LIL|rhs|lil-481607|Ponzinibbio, Carlos||s.af||||||
LIL|rhs|lil-481607|Koziner, Benjamín||s.af||||||
LIL|rhs|lil-481607|Fassi, Daniel||s.af||||||
LIL|rhs|lil-481607|Iastrebner, Marcelo||s.af||||||
LIL|rhs|lil-481897|Peres, Aida Maris||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|lil-481897|Ciampone, Maria Helena Trench||Universidade de São Paulo|||São Paulo|BR||
LIL|rhs|lil-481897|Wolff, Lillian Daisy Gonçalves||Universidade Federal do Paraná|||Paraná|BR||
LIL|rhs|lil-482250|Vargas, Liliana Angel||Universidade Federal do Estado do Rio de Janeiro|Escola de Enfermagem Alfredo Pinto|Departamento de Enfermagem em Saúde Pública|Rio de Janeiro|BR||
LIL|rhs|lil-482250|Oliveira, Thaís Fonseca Veloso de||Universidade Federal do Estado do Rio de Janeiro|Escola de Enfermagem Alfredo Pinto||Rio de Janeiro|BR||
LIL|rhs|lil-482285|Maffrand, Roque Alejandro||Universidad Nacional de Cordoba|Facultad de Ciencias Medicas|Catedra de Clinica Oftalmologica|Argentina|AR||
LIL|rhs|lil-482286|Comba, S||s.af||||||
LIL|rhs|lil-482286|Hernando, L||s.af||||||
LIL|rhs|lil-482286|Ojeda, H||s.af||||||
LIL|rhs|lil-482286|Pacheco, C||s.af||||||
LIL|rhs|lil-482286|Salomone, A||s.af||||||
LIL|rhs|lil-482363|Hennington, Élida Azevedo||Fundação Oswaldo Cruz|Instituto de Pesquisa Clínica Evandro Chagas||Rio de Janeiro|BR||
LIL|rhs|lil-482556|Caceres, N||Universidad Nacional de Cordoba|Facultad de Ciencias Medicas||Argentina|AR||
LIL|rhs|lil-482556|Attme, I||Universidad Nacional de Cordoba|Facultad de Ciencias Medicas|Escuela de Salud Publica|Argentina|AR||
LIL|rhs|lil-482556|Brunetto, J||Universidad nacional de Cordoba|Facultad de Ciencias Medicas|Escuela de Salud Publica|Argentina|AR||
LIL|rhs|lil-482556|Lucchini, H||Universidad Nacional de Cordoba|Facultad de Ciencias Medicas||Argentina|AR||
LIL|rhs|lil-482556|Miravet, M||s.af||||||
LIL|rhs|lil-482556|Martinez, G||s.af||||||
LIL|rhs|lil-482556|Andreone, C||s.af||||||
LIL|rhs|lil-482556|Bressan, A||s.af||||||
LIL|rhs|lil-482556|Perez, E||s.af||||||
LIL|rhs|lil-482556|Fessia, G||s.af||||||
LIL|rhs|lil-482562|Caillon, Adriana||Universidad de Buenos Aires||||AR||
LIL|rhs|lil-482565|Abramzon, Monica C||Universidad de Buenos Aires|Instituto Gino Germani||Argentina|AR||
LIL|rhs|lil-483055|Haag, Guadalupe Scarparo||Universidade do Vale dos Sinos|||São Leopoldo|BR||
LIL|rhs|lil-483055|Kolling, Vanessa||Universidade do Vale dos Sinos|||São Leopoldo|BR||
LIL|rhs|lil-483055|Silva, Elisete||Universidade do Vale dos Sinos|||São Leopoldo|BR||
LIL|rhs|lil-483055|Melo, Silvana Cláudia Bastos||Universidade do Vale dos Sinos|||São Leopoldo|BR||
LIL|rhs|lil-483055|Pinheiro, Monalisa||Universidade do Vale dos Sinos|||São Leopoldo|BR||
LIL|rhs|lil-483058|Silva, Rosiele Pinho Gonzaga da||Universidade Estadual do Oeste do Paraná|||Cascavel|BR||
LIL|rhs|lil-483058|Rodrigues, Rosa Maria||Universidade Estadual do Oeste do Paraná|||Cascavel|BR||
LIL|rhs|lil-483063|Nóbrega-Therrien, Silvia Maria||Universidade Estadual do Ceará|Centro de Ciências em Saúde||Fortaleza|BR||
LIL|rhs|lil-483063|Almeida, Maria Irismar de||Universidade Estadual do Ceará|Centro de Ciências em Saúde||Fortaleza|BR||
LIL|rhs|lil-483063|Silva, Marcelo Gurgel Carlos da||Universidade Estadual do Ceará|Centro de Ciências em Saúde||Fortaleza|BR||
LIL|rhs|lil-483064|Kruse, Maria Henriqueta Luce||Universidade Federal do Rio Grande do Sul|Escola de Enfermagem||Porto Alegre|BR||
LIL|rhs|lil-483064|Silva, Karen Schein da||Universidade Federal do Rio Grande do Sul|Escola de Enfermagem||Porto Alegre|BR||
LIL|rhs|lil-483064|Ribeiro, Rúbia Guimarães||Universidade Federal do Rio Grande do Sul|Escola de Enfermagem||Porto Alegre|BR||
LIL|rhs|lil-483064|Fortes, Caroline Vieira||Universidade Federal do Rio Grande do Sul|Escola de Enfermagem||Porto Alegre|BR||
LIL|rhs|lil-483067|Mendes, Isabel Amélia Costa||University of São Paulo|Ribeirão Preto College of Nursing||Ribeirão Preto|BR||
LIL|rhs|lil-483067|Marziale, Maria Helena Palucci||University of São Paulo|Ribeirão Preto College of Nursing||Ribeirão Preto|BR||
LIL|rhs|lil-483068|Leonello, Valéria Marli||s.af||||||
LIL|rhs|lil-483068|Oliveira, Maria Amélia de Campos||University of Sao Paulo|College of Nursing||São Paulo|BR||
LIL|rhs|lil-483070|Gentil, Rosana Chami||s.af||||||
LIL|rhs|lil-483070|Ramos, Laís Helena||s.af||||||
LIL|rhs|lil-483070|Whitaker, Iveth Yamaguchi||Sao Paulo Federal University|||São Paulo|BR||
LIL|rhs|lil-483072|Baraldi, Solange||Brasilia University|||Brasilia|BR||
LIL|rhs|lil-483072|Car, Marcia Regina||University of Sao Paulo|School of Nursing||São Paulo|BR||
LIL|rhs|lil-483474|Escobar Triana, Jaime||Universidad El Bosque||||CO||
LIL|rhs|lil-483475|Plata de Silva, Rita Cecilia||Universidad El Bosque|Decana Facultad de Enfermeria|||CO||
LIL|rhs|lil-483489|Fajardo Maldonado, Ana María||Universidad El Bosque||||CO||
LIL|rhs|lil-483489|Ibañez Pinilla, Edgar Antonio||Universidad El Bosque||||CO||
LIL|rhs|lil-483489|Saad Acosta, Cecilia||Universidad El Bosque||||CO||
LIL|rhs|lil-483756|Gamarra, Rafael||Círculo Dermatológico del Perú|||Lima|PE||
LIL|rhs|lil-483943|Siutti, Orestes Walter||Universidad de Buenos Aires|Facultad de Odontología|Museo y Centro de Estudios Históricos|Buenos Aires|AR||
LIL|rhs|lil-483945|Siutti, Orestes Walter||Universidad de Buenos Aires|Facultad de Odontología|Museo y Centro de Estudios Históricos|Buenos Aires|AR||
LIL|rhs|lil-483946|Siutti, Orestes Walter||Universidad de Buenos Aires|Facultad de Odontología|Museo y Centro de Estudios Históricos|Buenos Aires|AR||
LIL|rhs|lil-483949|Zarranz, María del Carmen||s.af||||||
LIL|rhs|lil-483956|Siutti, Orestes Walter||Universidad de Buenos Aires|Facultad de Odontología|Museo y Centro de Estudios Históricos|Buenos Aires|AR||
LIL|rhs|lil-484016|Oddone, Maria Julieta||Facultad Latinoamericana de Ciências Sociales|||Buenos Aires|AR||
LIL|rhs|lil-484016|Aguirre, Mónica Beatriz||Faculdad Latinoamericana de Ciências Sociales|||Buenos Aires|AR||
LIL|rhs|lil-484047|Siutti, Orestes Walter||Universidad de Buenos Aires|Museo y Centro de Estudios Históricos de la Facultad de Odontología de Buenos Aires||Buenos Aires|AR||
LIL|rhs|lil-484048|Luberti, Ricardo F||Universidad de Buenos Aires|Facultad de Odontología de Buenos Aires||Buenos Aires|AR||
LIL|rhs|lil-484049|Siutti, Orestes Walter||Universidad de Buenos Aires|Museo y Centro de Estudios Históricos de la Facultad de Buenos Aires||Buenos Aires|AR||
LIL|rhs|lil-484050|Siutti, Orestes Walter||Universidad de Buenos Aires|Museo y Centro de Estudios Históricos de la Facultad de Odontología de Buenos Aires||Buenos Aires|AR||
LIL|rhs|lil-484051|Siutti, Orestes Walter||Universidad de Buenos Aires|Museo y Centro de Estudios Históricos de la Facultad de Odontología de Buenos Aires||Buenos Aires|AR||
LIL|rhs|lil-484052|Zarranz, Alcira||Ateneo de Historia de la Medicina de Buenos Aires|||Buenos Aires|AR||
LIL|rhs|lil-484053|Leyt, Samuel||Academia Nacional de Odontología|||Buenos Aires|AR||
LIL|rhs|lil-484057|Anon||||||||
LIL|rhs|lil-484058|Leggieri, Ricardo J||Universidad de Buenos Aires|Facultad de Odontología||Buenos Aires|AR||
LIL|rhs|lil-484098|Mariátegui Chiappe, Javier||Universidad Peruana Cayetano Heredia|||Lima|PE||
LIL|rhs|lil-484161|Escalante Sánchez, Silvio||Universidad Nacional Federico Villarreal|||Lima|PE||
LIL|rhs|lil-484162|Trelles T., María del Pilar||s.af||||||
LIL|rhs|lil-484245|Palomino de la Gala, Robert||Universidad Nacional Mayor de San Marcos|||Lima|PE||
LIL|rhs|lil-484720|Taira, Patrícia||Hospital Regional de Sobradinho|||Sobradinho|BR||
LIL|rhs|lil-484720|Silva, Valquíria Divina da||Hospital Regional de Sobradinho|||Sobradinho|BR||
LIL|rhs|lil-484720|Sousa, Carlos Augusto Felipe de||Hospital Regional de Sobradinho|||Sobradinho|BR||
LIL|rhs|lil-484720|Díaz-Bermúdez, Ximena Pámela||Universidade de Brasília|Departamento de Saúde Coletiva||Brasília|BR||
LIL|rhs|lil-484725|Lopes, Sara Regina Souto||Ministério da Saúde|Secretaria de Gestão do Trabalho e da Educação em Saúde||Brasília|BR||
LIL|rhs|lil-484725|Piovesan, Érica Torres de Almeida||Comando da Aeronáutica|||Brasília|BR||
LIL|rhs|lil-484725|Melo, Luciana de Oliveira||Ministério da Saúde|Conselho Nacional de Saúde| Assessoria Técnica Comissão Nacional de Ética na Pesquisa|Brasília|BR||
LIL|rhs|lil-484725|Pereira, Márcio Florentino||Universidade de Brasília|Departamento de Saúde Coletiva||Brasília|BR||
LIL|rhs|lil-485304|Silva, Lara Wright||Universidade Federal do Espírito Santo|||Vitória|BR||
LIL|rhs|lil-485304|Tokumaru, Rosana||Universidade Federal do Espírito Santo|||Vitória|BR||
LIL|rhs|lil-485379|Bernardino, Elizabeth||USP|EERP|Programa Interunidades|Ribeirão Preto|BR||
LIL|rhs|lil-485379|Oliveira, Elda de||USP|EE||São Paulo|BR||
LIL|rhs|lil-485379|Ciampone, Maria Helena Trench||USP|EE||São Paulo|BR||
LIL|rhs|lil-485382|Lourenço, Karina Gomes||Hospital Universitário de São Paulo|||São Paulo|BR||
LIL|rhs|lil-485382|Castilho, Valéria||Universidade de São Paulo|Programa de Pós-Graduação da Escola de Enfermagem||São Paulo|BR||
LIL|rhs|lil-485388|D'Innocenzo, Maria||UNIFESP|Departamento de Enfermagem||São Paulo|BR||
LIL|rhs|lil-485388|Adami, Nilce Piva||UNIFESP|Departamento de Enfermagem||São Paulo|BR||
LIL|rhs|lil-485388|Cunha, Isabel Cristina Kowal Olm||UNIFESP|Departamento de Enfermagem||São Paulo|BR||
LIL|rhs|lil-485389|Santos, Regina Maria dos||Universidade Federal de Alagoas|Departamento de Enfermagem|||||
LIL|rhs|lil-485389|Trezza, Maria Cristina Soares Figueiredo||Universidade Federal de Alagoas|Departamento de Enfermagem|||||
LIL|rhs|lil-485389|Barros, Walcyr de Oliveira||USP|EERP|||||
LIL|rhs|lil-485389|Leite, Joséte Luzia||UFRJ|EEAN|Nuphebras||||
LIL|rhs|lil-485390|Meyer, Dagmar Elisabeth Estermann||Universidade Federal do Rio Grande do Sul|Faculdade de Educação|||||
LIL|rhs|lil-485392|Gracioto, Ariane||6º Sul do Hospital de Clínicas de Porto Alegre|Unidade de Internação||Porto Alegre|BR||
LIL|rhs|lil-485392|Gomes, Caren Jaqueline||6º Sul do Hospital de Clínicas de Porto Alegre|Unidade de Internação||Porto Alegre|BR||
LIL|rhs|lil-485392|Echer, Isabel Cristina||UFRGS|Escola de Enfermagem||Porto Alegre|BR||
LIL|rhs|lil-485392|Lorenzi, Paula Del Corona||Hospital de Clínicas de Porto Alegre|||Porto Alegre|BR||
LIL|rhs|lil-485393|Friedlander, Maria Romana||Escola Superior de Enfermagem São Vicente de Paulo|||Lisboa|PT||
LIL|rhs|lil-485393|Moreira, Maria Teresa de Arbués||Escola Superior de Enfermagem São Vicente de Paulo|||Lisboa|PT||
LIL|rhs|lil-485411|Santos, Silvana Sidney Costa||Fundação Universidade Federal do Rio Grande|Departamento de Enfermagem|||||
LIL|rhs|lil-485412|Albuquerque, Gelson Luiz de||UFSC|Departamento de Enfermagem|Programa de Pós-Graduação em Enfermagem||||
LIL|rhs|lil-485412|Pires, Denise||UNICAMP||||||
LIL|rhs|lil-485414|Bueno, Flora Marta Giglio||UNICAMP|Hospital de Clínicas|||||
LIL|rhs|lil-485414|Queiroz, Marcos de Souza||Universidade de Manchester||||||
LIL|rhs|lil-485415|Peruzzo, Simone Aparecida||UFPR|Departamento de Enfermagem||Curitiba|BR||
LIL|rhs|lil-485415|Albuquerque, Gelson Luiz de||UFSC|Departamento de Enfermagem|Pós graduação em Enfermagem|Florianóplois|BR||
LIL|rhs|lil-485415|Dyniewicz, Ana Maria||s.af||||||
LIL|rhs|lil-485416|Corbellini, Valéria Lamb||Pontifícia Universidade Católica do Rio Grande do Sul|||Porto Alegre|BR||
LIL|rhs|lil-485416|Medeiros, Marilú Fontoura||Universidade Federal do Rio Grande do Sul|||Porto Alegre|BR||
LIL|rhs|lil-485417|Kruse, Maria Henriqueta Luce||Universidade Federal do Rio Grande do Sul|Escola de Enfermagem|||||
LIL|rhs|lil-485418|Baptista, Suely de Souza||UFRJ|EEAN|Departamento de Enfermagem Fundamental|Rio de Janeiro|BR||
LIL|rhs|lil-485418|Barreira, Ieda de Alencar||UFRJ|EEAN|Departamento de Enfermagem Fundamental|Rio de Janeiro|BR||
LIL|rhs|lil-485419|Rizzotto, Maria Lúcia Frizon||Unioeste||||||
LIL|rhs|lil-485423|Moura, Abigail||USP||||||
LIL|rhs|lil-485423|Liberalino, Francisca Nazaré||UFRN|Departamento de Enfermagem||Natal|BR||
LIL|rhs|lil-485423|Silva, Francisca Valda da||UERN|||Natal|BR||
LIL|rhs|lil-485423|Germano, Raimunda Medeiros||UNICAMP||||||
LIL|rhs|lil-485423|Timóteo, Rosalba Pessoa de Souza||UFRN|Programa de Pós-graduação em Enfermagem||Natal|BR||
LIL|rhs|lil-485425|Vale, Eucléa Gomes||Faculdade Católica Rainha do Sertão|||Quixadá|BR||
LIL|rhs|lil-485425|Fernandes, Josicelia Dumêt||Universidade Federal da Bahia|Escola de Enfermagem||Salvador|BR||
LIL|rhs|lil-485570|Souza, Regina Kazue Tanno de||Universidade Estadual de Maringá|Departamento de Enfermagem||Maringá|BR||
LIL|rhs|lil-485570|Gonçalves, Maria Bernadete||Universidade Estadual de Maringá|Departamento de Medicina||Maringá|BR||
LIL|rhs|lil-485570|Scochi, Maria José||Universidade Estadual de Maringá|Departamento de Enfermagem||Maringá|BR||
LIL|rhs|lil-485570|Mathias, Thaís Aidar de Freitas||Universidade Estadual de Maringá|Departamento de Enfermagem||Maringá|BR||
LIL|rhs|lil-485570|Martins, Ana Beatriz Tozzo||Universidade Estadual de Maringá|Departamento de Estatística||Maringá|BR||
LIL|rhs|lil-485570|Gazola, Sebastião||Universidade Estadual de Maringá|Departamento de Estatística||Maringá|BR||
LIL|rhs|lil-485570|Abreu, Elenice Tavares||Universidade Estadual de Maringá|Departamento de Engenharia Química||Maringá|BR||
LIL|rhs|lil-486066|López Espinosa, J. A||Centro Nacional de Información de Ciencias Médicas|||Ciudad de La Habana|CU||
LIL|rhs|lil-486361|Scarparo, Ariane Fazzolo||Universidade de São Paulo|Escola de Enfermagem de Ribeirão Preto|Departamento de Enfermagem Geral e Especializada|Ribeirão Preto|BR||
